condition,timestamp,pnum
b1_start,1671078100.0,1
b1_end,1671078235.0,1
b2_start,1671078252.0,1
b2_end,1671078378.0,1
s_start,1671078709.162,1
s_end,1671078967.054,1
b1_start,1671082645.0,2
b1_end,1671082769.0,2
b2_start,1671082790.0,2
b2_end,1671082914.0,2
s_start,1671083405.249,2
s_end,1671083632.274,2
b1_start,1671175523.0,3
b1_end,1671175652.0,3
b2_start,1671175699.0,3
b2_end,1671175825.0,3
s_start,1671176145.721,3
s_end,1671176381.576,3
b1_start,1671244810.0,4
b1_end,1671244951.0,4
b2_start,1671244984.0,4
b2_end,1671245105.0,4
s_start,1671245406.824,4
s_end,1671245661.556,4
b1_start,1671249931.0,5
b1_end,1671250058.0,5
b2_start,1671250075.0,5
b2_end,1671250203.0,5
s_start,1671250802.791,5
s_end,1671251042.785,5
b1_start,1671255810.0,6
b1_end,1671255930.0,6
b2_start,1671255961.0,6
b2_end,1671256141.0,6
s_start,1671256474.989,6
s_end,1671256719.183,6
b1_start,1671261290.0,7
b1_end,1671261412.0,7
b2_start,1671261440.0,7
b2_end,1671261568.0,7
s_start,1671261924.926,7
s_end,1671262172.797,7
b1_start,1671267228.0,8
b1_end,1671267340.0,8
b2_start,1671267367.0,8
b2_end,1671267503.0,8
s_start,1671267813.401,8
s_end,1671268070.398,8
b1_start,1671331520.0,9
b1_end,1671331640.0,9
b2_start,1671331667.0,9
b2_end,1671331794.0,9
s_start,1671332116.447,9
s_end,1671332356.938,9
b1_start,1671336750.0,10
b1_end,1671336871.0,10
b2_start,1671336901.0,10
b2_end,1671337024.0,10
s_start,1671337388.901,10
s_end,1671337629.739,10
b1_start,1671352180.0,11
b1_end,1671352301.0,11
b2_start,1671352493.0,11
b2_end,1671352615.0,11
s_start,1671353006.312,11
s_end,1671353239.201,11
b1_start,1671672192.0,12
b1_end,1671672317.0,12
b2_start,1671672346.0,12
b2_end,1671672469.0,12
s_start,1671672899.624,12
s_end,1671673149.723,12
